"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-6261.30231879032,5.35662204768336,1.11641982435843e-11
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-6278.29515097921,7.47048768929066,4.65515652356703e-19
"3","GTR","relaxed_log_normal","coalescent_constant_population",-6254.39912173083,5.18612949604981,0.0000000111134251828212
"4","GTR","relaxed_log_normal","coalescent_exp_population",-6255.89160793784,6.48541980210691,0.00000000249844277155425
"5","GTR","relaxed_log_normal","yule",-6256.21212077023,5.16273725359541,0.0000000018133116493094
"6","GTR","strict","birth_death",-6263.45356707346,6.38153888460152,1.29882990979389e-12
"7","GTR","strict","coalescent_bayesian_skyline",-6277.14112603648,7.26216713984264,1.47611758069141e-18
"8","GTR","strict","coalescent_constant_population",-6251.53658481434,5.25281910773937,0.000000194550305538369
"9","GTR","strict","coalescent_exp_population",-6256.70616155497,5.3583213960594,0.00000000110640279688662
"10","GTR","strict","yule",-6287.20403454274,7.33164351729593,6.29296500401732e-23
"11","HKY","relaxed_log_normal","birth_death",-6249.48167706096,5.68417827401142,0.00000151868259361558
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-6260.28234491107,6.04620757287358,3.09596874121457e-11
"13","HKY","relaxed_log_normal","coalescent_constant_population",-6255.11887713741,4.63901196589538,0.00000000541080806539186
"14","HKY","relaxed_log_normal","coalescent_exp_population",-6248.40571489043,4.87906463643254,0.00000445401267611989
"15","HKY","relaxed_log_normal","yule",-6253.48077367218,5.75970784987961,0.0000000278407816637054
"16","HKY","strict","birth_death",-6260.65875953556,6.31552195490184,2.12481817642488e-11
"17","HKY","strict","coalescent_bayesian_skyline",-6271.89727691305,6.89254846626487,2.79573298857028e-16
"18","HKY","strict","coalescent_constant_population",-6250.14535620783,5.04131783676968,0.000000782050546889204
"19","HKY","strict","coalescent_exp_population",-6259.3835195872,5.6658194328015,7.60591461197807e-11
"20","HKY","strict","yule",-6259.07428872614,6.02207765541046,0.000000000103621220206485
"21","JC69","relaxed_log_normal","birth_death",-6245.90728766072,4.14923640657984,0.0000541757095418669
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-6240.63260803759,4.08774537559716,0.0105820269229099
"23","JC69","relaxed_log_normal","coalescent_constant_population",-6243.06898624447,3.8880724121159,0.000925685052589754
"24","JC69","relaxed_log_normal","coalescent_exp_population",-6245.26562257063,3.8375072608293,0.000102914416455906
"25","JC69","relaxed_log_normal","yule",-6236.8772713599,3.34634088800823,0.452366940786506
"26","JC69","strict","birth_death",-6245.60050188925,4.70798883684647,0.0000736274866563802
"27","JC69","strict","coalescent_bayesian_skyline",-6249.77523977501,4.91307899863537,0.00000113233348025362
"28","JC69","strict","coalescent_constant_population",-6236.71071147273,3.34044552580697,0.534351335125444
"29","JC69","strict","coalescent_exp_population",-6242.58860073987,3.6786673709143,0.001496552734754
"30","JC69","strict","yule",-6246.24606714205,3.97673531788953,0.0000386077550075393
"31","TN93","relaxed_log_normal","birth_death",-6261.17551834036,6.60979105685692,1.26734914276839e-11
"32","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-6265.03186489057,6.01717591319121,2.67982385244203e-13
"33","TN93","relaxed_log_normal","coalescent_constant_population",-6269.14237089341,6.92838137382406,4.39477022517348e-15
"34","TN93","relaxed_log_normal","coalescent_exp_population",-6263.62451206828,6.16788445231263,1.09474208307543e-12
"35","TN93","relaxed_log_normal","yule",NA,NA,0
"36","TN93","strict","birth_death",NA,NA,0
"37","TN93","strict","coalescent_bayesian_skyline",NA,NA,0
"38","TN93","strict","coalescent_constant_population",NA,NA,0
"39","TN93","strict","coalescent_exp_population",-6255.95998284348,5.42071335782766,0.00000000233332138760217
"40","TN93","strict","yule",-6261.9838618743,5.55003408423206,5.6472516260423e-12
